Time stamp;Medida;Luminosidade;Temperatura;Umidade;Latitude;Longitude;Altitude
04/07/2026 13:52:58;1;2753;25.0;63.9;-23.005489;-46.835501;770.7
04/07/2026 13:53:11;2;2753;25.0;63.9;-23.005489;-46.835501;770.7
04/07/2026 13:53:17;3;2832;25.0;63.8;-23.005524;-46.835439;773.0
04/07/2026 13:53:23;4;2721;25.0;63.9;-23.005523;-46.835435;774.5
04/07/2026 13:53:29;5;2825;25.0;63.9;-23.005512;-46.835448;773.6
04/07/2026 13:53:36;6;2737;25.0;64.0;-23.005496;-46.83546;773.8
04/07/2026 13:53:42;7;2759;25.0;63.9;-23.005496;-46.835457;775.4
04/07/2026 13:53:48;8;2765;25.0;63.9;-23.00549;-46.835468;775.9
04/07/2026 13:53:55;9;2767;25.0;63.8;-23.005485;-46.835476;776.2
04/07/2026 13:54:01;10;2820;25.0;63.8;-23.005495;-46.835468;776.2
