Time stamp;medida_atual;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio;taxa_canal_teorica;taxa_canal_calculada;snr_DL;snr_UL;contador_DL;contador_UL;perda_total;LSS_status
24/06/2026 00:14:59;1;-62.5;-62.5;0;0.0;-62.5;-62.5;-62.5;-62.5;7;500;5;20;21875.0;0.0;5.75;6.0;3;0;1;1
24/06/2026 00:15:03;2;-62.5;-62.5;1;0.0;-62.5;-62.5;-62.5;-62.5;7;500;5;20;21875.0;0.0;5.75;6.0;3;0;2;1
24/06/2026 00:15:06;3;-62.5;-63.5;1;33.33;-62.5;-62.5;-62.5;-63.5;7;500;5;20;21875.0;7291.666666666665;5.75;5.5;5;1;2;1
24/06/2026 00:15:08;4;-62.5;-61.5;1;50.0;-62.5;-62.5;-61.5;-63.5;7;500;5;20;21875.0;10937.5;6.0;5.75;6;2;2;1
24/06/2026 00:15:11;5;-62.5;-61.5;1;60.0;-62.5;-62.5;-61.5;-63.5;7;500;5;20;21875.0;13125.0;6.0;5.75;7;3;2;1
24/06/2026 00:15:14;6;-62.5;-62.5;1;66.67;-62.5;-62.5;-61.5;-63.5;7;500;5;20;21875.0;14583.33333333333;5.75;6.25;8;4;2;1
24/06/2026 00:15:16;7;-62.5;-61.5;1;71.43;-62.5;-62.5;-61.5;-63.5;7;500;5;20;21875.0;15625.0;5.75;5.75;9;5;2;1
24/06/2026 00:15:19;8;-61.5;-62.5;1;75.0;-61.5;-62.5;-61.5;-63.5;7;500;5;20;21875.0;16406.25;5.75;6.0;10;6;2;1
24/06/2026 00:15:22;9;-62.5;-62.5;1;77.78;-61.5;-62.5;-61.5;-63.5;7;500;5;20;21875.0;17013.88888888889;6.0;6.0;11;7;2;1
24/06/2026 00:15:24;10;-62.5;-63.5;1;80.0;-61.5;-62.5;-61.5;-63.5;7;500;5;20;21875.0;17500.0;6.0;5.75;12;8;2;1
