Time stamp;medida_atual;RSSI_DL;RSSI_UL;Perdas;PSR_DL;PSR_UL;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio;taxa_canal_teorica;taxa_canal_calculada;snr_DL;snr_UL;contador_DL;contador_UL;perda_total;LSS_status
05/07/2026 11:00:32;1;-58.0;-60.0;0;100.0;100.0;-58.0;-58.0;-60.0;-60.0;12;125;8;14;183.10546875;183.10546875;7.25;9.0;0;1;0;1
05/07/2026 11:00:38;2;-59.0;-61.5;0;100.0;100.0;-58.0;-59.0;-60.0;-61.5;12;125;8;14;183.10546875;183.10546875;8.25;8.25;0;2;0;1
05/07/2026 11:00:44;3;-59.0;-59.0;0;100.0;100.0;-58.0;-59.0;-59.0;-61.5;12;125;8;14;183.10546875;183.10546875;10.5;7.5;0;3;0;1
05/07/2026 11:00:50;4;-61.5;-61.5;0;100.0;100.0;-58.0;-61.5;-59.0;-61.5;12;125;8;14;183.10546875;183.10546875;8.75;9.75;0;4;0;1
05/07/2026 11:00:57;5;-61.5;-62.5;0;100.0;100.0;-58.0;-61.5;-59.0;-62.5;12;125;8;14;183.10546875;183.10546875;9.5;8.25;0;5;0;1
05/07/2026 11:01:03;6;-60.0;-60.0;0;100.0;100.0;-58.0;-61.5;-59.0;-62.5;12;125;8;14;183.10546875;183.10546875;8.25;7.25;0;6;0;1
05/07/2026 11:01:10;7;-58.0;-59.0;0;100.0;100.0;-58.0;-61.5;-59.0;-62.5;12;125;8;14;183.10546875;183.10546875;9.5;7.75;0;7;0;1
05/07/2026 11:01:16;8;-58.0;-59.0;0;100.0;100.0;-58.0;-61.5;-59.0;-62.5;12;125;8;14;183.10546875;183.10546875;10.0;6.25;0;8;0;1
05/07/2026 11:01:22;9;-58.0;-59.0;0;100.0;100.0;-58.0;-61.5;-59.0;-62.5;12;125;8;14;183.10546875;183.10546875;10.0;8.5;0;9;0;1
05/07/2026 11:01:29;10;-58.0;-59.0;0;100.0;100.0;-58.0;-61.5;-59.0;-62.5;12;125;8;14;183.10546875;183.10546875;7.25;7.5;0;10;0;1
