Time stamp;medida;rssi_dl;rssi_dl_max;rssi_dl_min;rssi_dl_desvpad;rssi_dl_mediana;rssi_dl_media_movel;rssi_ul;rssi_ul_max;rssi_ul_min;rssi_ul_desvpad;rssi_ul_mediana;rssi_ul_media_movel;snr_dl;snr_dl_max;snr_dl_min;snr_dl_media;snr_ul;snr_ul_max;snr_ul_min;snr_ul_media;psr_ul;psr_ul_medio;per_geral_medio;taxa_teorica;taxa_calculada;contador_dl;contador_ul;perda_total;lss_status
27/06/2026 09:52:23;1;-78.5;-78.5;-78.5;0.0;-78.5;-78.5;-79.5;-79.5;-79.5;0.0;-79.5;-79.5;9.75;9.75;9.75;9.75;9.75;9.75;9.75;9.75;100.0;100.0;0.0;5468.75;5468.75;1;1;0;1
27/06/2026 09:52:31;2;-76.0;-76.0;-78.5;1.768;-77.25;-77.07;-77.5;-77.5;-79.5;1.414;-78.5;-78.39;9.25;9.75;9.25;9.5;10.0;10.0;9.75;9.88;100.0;100.0;0.0;5468.75;5468.75;2;2;0;1
27/06/2026 09:52:39;3;-78.5;-76.0;-78.5;1.443;-78.5;-77.5;-79.5;-77.5;-79.5;1.155;-79.5;-78.73;9.5;9.75;9.25;9.5;9.25;10.0;9.25;9.67;100.0;100.0;0.0;5468.75;5468.75;3;3;0;1
27/06/2026 09:52:55;4;-78.5;-76.0;-78.5;1.25;-78.5;-77.73;-79.5;-77.5;-79.5;1.0;-79.5;-78.91;9.5;9.75;9.25;9.5;9.25;10.0;9.25;9.56;75.0;93.75;6.25;5468.75;4101.56;3;3;1;1
27/06/2026 09:53:03;5;-77.5;-76.0;-78.5;1.095;-78.5;-77.68;-78.5;-77.5;-79.5;0.894;-79.5;-78.82;9.75;9.75;9.25;9.55;9.5;10.0;9.25;9.55;80.0;91.0;9.0;5468.75;4375.0;5;4;1;1
27/06/2026 09:53:11;6;-75.0;-75.0;-78.5;1.506;-78.0;-77.1;-75.0;-75.0;-79.5;1.782;-79.0;-77.91;9.75;9.75;9.25;9.58;9.75;10.0;9.25;9.58;83.33;89.72;10.28;5468.75;4557.29;6;5;1;1
27/06/2026 09:53:19;7;-76.0;-75.0;-78.5;1.464;-77.5;-76.93;-77.5;-75.0;-79.5;1.651;-78.5;-77.84;9.25;9.75;9.25;9.54;9.75;10.0;9.25;9.61;85.71;89.15;10.85;5468.75;4687.5;7;6;1;1
27/06/2026 09:53:27;8;-74.0;-74.0;-78.5;1.753;-76.75;-76.43;-75.0;-75.0;-79.5;1.89;-78.0;-77.37;9.25;9.75;9.25;9.5;10.0;10.0;9.25;9.66;87.5;88.94;11.06;5468.75;4785.16;8;7;1;1
27/06/2026 09:53:35;9;-76.0;-74.0;-78.5;1.658;-76.0;-76.38;-77.5;-75.0;-79.5;1.77;-77.5;-77.38;9.25;9.75;9.25;9.47;9.5;10.0;9.25;9.64;88.89;88.94;11.06;5468.75;4861.11;9;8;1;1
27/06/2026 09:53:43;10;-79.5;-74.0;-79.5;1.802;-76.75;-76.61;-79.5;-75.0;-79.5;1.761;-78.0;-77.55;9.0;9.75;9.0;9.43;9.5;10.0;9.25;9.62;90.0;89.04;10.96;5468.75;4921.88;10;9;1;1
27/06/2026 09:53:51;11;-76.0;-74.0;-79.5;1.733;-76.0;-76.4;-78.5;-75.0;-79.5;1.68;-78.5;-77.48;4.5;9.75;4.5;8.98;9.75;10.0;9.25;9.64;90.91;89.21;10.79;5468.75;4971.59;11;10;1;1
27/06/2026 09:53:59;12;-77.5;-74.0;-79.5;1.663;-76.75;-76.54;-78.5;-75.0;-79.5;1.61;-78.5;-77.57;9.5;9.75;4.5;9.02;9.75;10.0;9.25;9.65;91.67;89.42;10.58;5468.75;5013.02;12;11;1;1
27/06/2026 09:54:07;13;-77.5;-74.0;-79.5;1.6;-77.5;-76.47;-78.5;-75.0;-79.5;1.547;-78.5;-77.5;9.25;9.75;4.5;9.04;9.5;10.0;9.25;9.63;92.31;89.64;10.36;5468.75;5048.08;13;12;1;1
27/06/2026 09:54:15;14;-77.5;-74.0;-79.5;1.544;-77.5;-76.4;-78.5;-75.0;-79.5;1.492;-78.5;-77.43;9.5;9.75;4.5;9.07;9.75;10.0;9.25;9.64;92.86;89.87;10.13;5468.75;5078.12;14;13;1;1
27/06/2026 09:54:23;15;-78.5;-74.0;-79.5;1.538;-77.5;-76.47;-78.5;-75.0;-79.5;1.442;-78.5;-77.43;9.75;9.75;4.5;9.12;10.25;10.25;9.25;9.68;93.33;90.1;9.9;5468.75;5104.17;15;14;1;1
27/06/2026 09:54:31;16;-77.5;-74.0;-79.5;1.489;-77.5;-76.74;-78.5;-75.0;-79.5;1.396;-78.5;-77.87;9.25;9.75;4.5;9.12;10.0;10.25;9.25;9.7;93.75;90.33;9.67;5468.75;5126.95;16;15;1;1
27/06/2026 09:54:39;17;-77.5;-74.0;-79.5;1.444;-77.5;-76.9;-78.5;-75.0;-79.5;1.355;-78.5;-77.97;9.5;9.75;4.5;9.15;9.75;10.25;9.25;9.71;94.12;90.55;9.45;5468.75;5147.06;17;16;1;1
27/06/2026 09:54:47;18;-77.5;-74.0;-79.5;1.404;-77.5;-77.39;-77.5;-75.0;-79.5;1.323;-78.5;-78.37;9.5;9.75;4.5;9.17;9.5;10.25;9.25;9.69;94.44;90.77;9.23;5468.75;5164.93;18;17;1;1
27/06/2026 09:54:55;19;-77.5;-74.0;-79.5;1.366;-77.5;-77.57;-78.5;-75.0;-79.5;1.289;-78.5;-78.48;4.75;9.75;4.5;8.93;9.5;10.25;9.25;9.68;94.74;90.98;9.02;5468.75;5180.92;19;18;1;1
27/06/2026 09:55:03;20;-76.0;-74.0;-79.5;1.356;-77.5;-77.24;-78.5;-75.0;-79.5;1.258;-78.5;-78.39;9.25;9.75;4.5;8.95;9.75;10.25;9.25;9.69;95.0;91.18;8.82;5468.75;5195.31;20;19;1;1
27/06/2026 09:55:11;21;-77.5;-74.0;-79.5;1.324;-77.5;-77.41;-78.5;-75.0;-79.5;1.228;-78.5;-78.39;9.5;9.75;4.5;8.98;10.0;10.25;9.25;9.7;95.24;91.37;8.63;5468.75;5208.33;21;20;1;1
27/06/2026 09:55:19;22;-77.5;-74.0;-79.5;1.295;-77.5;-77.41;-78.5;-75.0;-79.5;1.201;-78.5;-78.39;9.5;9.75;4.5;9.0;9.75;10.25;9.25;9.7;95.45;91.56;8.44;5468.75;5220.17;22;21;1;1
27/06/2026 09:55:27;23;-76.0;-74.0;-79.5;1.288;-77.5;-77.24;-78.5;-75.0;-79.5;1.175;-78.5;-78.39;9.25;9.75;4.5;9.01;9.5;10.25;9.25;9.7;95.65;91.73;8.27;5468.75;5230.98;23;22;1;1
27/06/2026 09:55:35;24;-76.0;-74.0;-79.5;1.28;-77.5;-77.07;-78.5;-75.0;-79.5;1.151;-78.5;-78.39;9.25;9.75;4.5;9.02;9.5;10.25;9.25;9.69;95.83;91.91;8.09;5468.75;5240.89;24;23;1;1
27/06/2026 09:55:43;25;-77.5;-74.0;-79.5;1.256;-77.5;-76.99;-77.5;-75.0;-79.5;1.135;-78.5;-78.28;9.25;9.75;4.5;9.03;9.75;10.25;9.25;9.69;96.0;92.07;7.93;5468.75;5250.0;25;24;1;1
27/06/2026 09:55:51;26;-77.5;-74.0;-79.5;1.233;-77.5;-76.99;-78.5;-75.0;-79.5;1.114;-78.5;-78.28;9.25;9.75;4.5;9.04;9.25;10.25;9.25;9.67;96.15;92.23;7.77;5468.75;5258.41;26;25;1;1
27/06/2026 09:55:59;27;-76.0;-74.0;-79.5;1.227;-77.5;-76.84;-78.5;-75.0;-79.5;1.094;-78.5;-78.28;9.25;9.75;4.5;9.05;9.75;10.25;9.25;9.68;96.3;92.38;7.62;5468.75;5266.2;27;26;1;1
27/06/2026 09:56:07;28;-77.5;-74.0;-79.5;1.207;-77.5;-76.84;-78.5;-75.0;-79.5;1.075;-78.5;-78.39;9.25;9.75;4.5;9.05;9.5;10.25;9.25;9.67;96.43;92.52;7.48;5468.75;5273.44;28;27;1;1
27/06/2026 09:56:15;29;-77.5;-74.0;-79.5;1.188;-77.5;-76.84;-78.5;-75.0;-79.5;1.057;-78.5;-78.39;9.25;9.75;4.5;9.06;9.75;10.25;9.25;9.67;96.55;92.66;7.34;5468.75;5280.17;29;28;1;1
27/06/2026 09:56:23;30;-77.5;-74.0;-79.5;1.17;-77.5;-76.99;-77.5;-75.0;-79.5;1.047;-78.5;-78.28;9.5;9.75;4.5;9.07;9.5;10.25;9.25;9.67;96.67;92.79;7.21;5468.75;5286.46;30;29;1;1
27/06/2026 09:56:31;31;-76.0;-74.0;-79.5;1.167;-77.5;-76.84;-78.5;-75.0;-79.5;1.031;-78.5;-78.28;9.25;9.75;4.5;9.08;9.75;10.25;9.25;9.67;96.77;92.92;7.08;5468.75;5292.34;31;30;1;1
27/06/2026 09:56:39;32;-77.5;-74.0;-79.5;1.151;-77.5;-76.84;-78.5;-75.0;-79.5;1.016;-78.5;-78.28;9.25;9.75;4.5;9.09;9.75;10.25;9.25;9.67;96.88;93.05;6.95;5468.75;5297.85;32;31;1;1
27/06/2026 09:56:47;33;-76.0;-74.0;-79.5;1.148;-77.5;-76.84;-78.5;-75.0;-79.5;1.001;-78.5;-78.28;9.5;9.75;4.5;9.1;9.75;10.25;9.25;9.67;96.97;93.17;6.83;5468.75;5303.03;33;32;1;1
27/06/2026 09:56:55;34;-78.5;-74.0;-79.5;1.158;-77.5;-77.07;-79.5;-75.0;-79.5;1.009;-78.5;-78.37;9.25;9.75;4.5;9.1;10.0;10.25;9.25;9.68;97.06;93.28;6.72;5468.75;5307.9;34;33;1;1
27/06/2026 09:57:03;35;-77.5;-74.0;-79.5;1.143;-77.5;-77.07;-78.5;-75.0;-79.5;0.995;-78.5;-78.48;9.25;9.75;4.5;9.11;10.0;10.25;9.25;9.69;97.14;93.39;6.61;5468.75;5312.5;35;34;1;1
27/06/2026 09:57:11;36;-78.5;-74.0;-79.5;1.15;-77.5;-77.16;-79.5;-75.0;-79.5;1.002;-78.5;-78.57;9.5;9.75;4.5;9.12;9.75;10.25;9.25;9.69;97.22;93.5;6.5;5468.75;5316.84;36;35;1;1
27/06/2026 09:57:19;37;-78.5;-74.0;-79.5;1.156;-77.5;-77.41;-79.5;-75.0;-79.5;1.007;-78.5;-78.66;9.25;9.75;4.5;9.12;9.75;10.25;9.25;9.7;97.3;93.6;6.4;5468.75;5320.95;37;36;1;1
27/06/2026 09:57:27;38;-78.5;-74.0;-79.5;1.16;-77.5;-77.5;-79.5;-75.0;-79.5;1.011;-78.5;-78.75;9.75;9.75;4.5;9.14;10.0;10.25;9.25;9.7;97.37;93.7;6.3;5468.75;5324.84;38;37;1;1
27/06/2026 09:57:35;39;-78.5;-74.0;-79.5;1.163;-77.5;-77.59;-79.5;-75.0;-79.5;1.014;-78.5;-78.85;9.25;9.75;4.5;9.14;9.5;10.25;9.25;9.7;97.44;93.79;6.21;5468.75;5328.53;39;38;1;1
27/06/2026 09:57:43;40;-80.5;-74.0;-80.5;1.259;-77.5;-77.82;-82.5;-75.0;-82.5;1.193;-78.5;-79.27;9.0;9.75;4.5;9.14;9.5;10.25;9.25;9.69;97.5;93.89;6.11;5468.75;5332.03;40;39;1;1
27/06/2026 09:57:51;41;-78.5;-74.0;-80.5;1.256;-77.5;-78.11;-79.5;-75.0;-82.5;1.188;-78.5;-79.38;9.5;9.75;4.5;9.15;9.75;10.25;9.25;9.7;97.56;93.98;6.02;5468.75;5335.37;41;40;1;1
27/06/2026 09:57:59;42;-78.5;-74.0;-80.5;1.253;-77.5;-78.22;-79.5;-75.0;-82.5;1.183;-78.5;-79.49;9.25;9.75;4.5;9.15;9.75;10.25;9.25;9.7;97.62;94.06;5.94;5468.75;5338.54;42;41;1;1
27/06/2026 09:58:07;43;-78.5;-74.0;-80.5;1.25;-77.5;-78.55;-79.5;-75.0;-82.5;1.178;-78.5;-79.61;9.5;9.75;4.5;9.16;9.75;10.25;9.25;9.7;97.67;94.15;5.85;5468.75;5341.57;43;42;1;1
27/06/2026 09:58:15;44;-78.5;-74.0;-80.5;1.246;-77.5;-78.55;-79.5;-75.0;-82.5;1.173;-78.5;-79.61;9.5;9.75;4.5;9.16;9.75;10.25;9.25;9.7;97.73;94.23;5.77;5468.75;5344.46;44;43;1;1
