Medida;Latitude;Longitude;Altitude;Distancia_3D_m;RSSI_DL_medido;RSSI_DL_previsto_shadowing
1;-23.005298;-46.835329;778.8;19.34;-38.0;-45.49
2;-23.0053;-46.835329;778.5;19.07;-39.0;-45.31
3;-23.005303;-46.835329;778.0;18.68;-39.0;-45.03
4;-23.005303;-46.835329;778.0;18.68;-38.0;-45.03
5;-23.005305;-46.83533;777.6;18.39;-38.0;-44.83
6;-23.005307;-46.83533;777.4;18.15;-38.0;-44.66
7;-23.005311;-46.835331;777.0;17.66;-38.0;-44.3
8;-23.005313;-46.835331;776.5;17.4;-38.0;-44.11
9;-23.005315;-46.835332;776.1;17.14;-39.0;-43.92
10;-23.005317;-46.835333;775.7;16.89;-38.0;-43.72
11;-23.005318;-46.835333;775.3;16.78;-38.0;-43.64
12;-23.005321;-46.835334;774.5;16.46;-39.0;-43.38
13;-23.005323;-46.835334;774.2;16.26;-39.0;-43.23
14;-23.005325;-46.835335;773.6;16.08;-38.0;-43.08
15;-23.005327;-46.835336;773.4;15.86;-38.0;-42.9
16;-23.005328;-46.835336;772.8;15.84;-39.0;-42.89
17;-23.005329;-46.835337;772.7;15.73;-38.0;-42.8
18;-23.005329;-46.835336;772.6;15.77;-38.0;-42.83
19;-23.00533;-46.835337;771.9;15.78;-38.0;-42.84
20;-23.005332;-46.835337;771.4;15.69;-38.0;-42.76
21;-23.005334;-46.835339;770.8;15.6;-38.0;-42.69
22;-23.005335;-46.835341;770.3;15.61;-39.0;-42.7
23;-23.005336;-46.835341;770.4;15.48;-39.0;-42.59
24;-23.005339;-46.835343;770.0;15.27;-38.0;-42.41
25;-23.005341;-46.835346;769.7;15.12;-38.0;-42.28
26;-23.005343;-46.835347;769.6;14.94;-39.0;-42.13
27;-23.005346;-46.835349;769.4;14.69;-38.0;-41.9
28;-23.005347;-46.83535;769.8;14.41;-38.0;-41.66
29;-23.005348;-46.83535;770.0;14.23;-39.0;-41.49
30;-23.00535;-46.835351;769.9;14.06;-39.0;-41.33
31;-23.005352;-46.835352;769.7;13.92;-38.0;-41.2
32;-23.005355;-46.835353;769.5;13.69;-38.0;-40.99
33;-23.005357;-46.835353;769.5;13.49;-38.0;-40.8
