Medida;Latitude;Longitude;Altitude;Distancia_3D_m;RSSI_DL_medido;RSSI_DL_previsto_shadowing
1;-23.005284;-46.835389;783.1;21.64;-45.5;-60.48
2;-23.005284;-46.835389;783.0;21.6;-44.0;-60.46
3;-23.005285;-46.835388;783.1;21.52;-45.5;-60.41
4;-23.005284;-46.835387;783.0;21.58;-44.0;-60.45
5;-23.005283;-46.835386;783.2;21.75;-45.5;-60.55
6;-23.005282;-46.835386;783.2;21.85;-44.0;-60.61
7;-23.005282;-46.835385;783.2;21.85;-45.5;-60.61
8;-23.005282;-46.835384;782.8;21.7;-45.5;-60.52
9;-23.005282;-46.835382;782.3;21.52;-45.5;-60.41
10;-23.005283;-46.835381;782.0;21.32;-45.5;-60.29
11;-23.005285;-46.83538;780.7;20.73;-45.5;-59.92
12;-23.005288;-46.835378;779.5;20.12;-45.5;-59.54
13;-23.00529;-46.835377;778.7;19.75;-45.5;-59.29
14;-23.005292;-46.835376;778.3;19.46;-45.5;-59.1
15;-23.005295;-46.835375;777.5;19.03;-45.5;-58.81
16;-23.005298;-46.835374;776.9;18.63;-44.0;-58.54
17;-23.005302;-46.835372;776.4;18.15;-45.5;-58.2
18;-23.005304;-46.83537;775.9;17.91;-45.5;-58.02
19;-23.005307;-46.835369;775.3;17.57;-45.5;-57.77
20;-23.005308;-46.835368;775.0;17.46;-45.5;-57.69
21;-23.00531;-46.835367;774.5;17.26;-44.0;-57.54
22;-23.005312;-46.835366;773.9;17.08;-45.5;-57.4
23;-23.005314;-46.835365;773.5;16.91;-45.5;-57.27
24;-23.005315;-46.835364;772.8;16.89;-45.5;-57.26
25;-23.005317;-46.835363;772.3;16.76;-44.0;-57.16
26;-23.005319;-46.835362;771.8;16.65;-44.0;-57.07
27;-23.005323;-46.835362;771.2;16.36;-44.0;-56.84
28;-23.005324;-46.835362;771.1;16.28;-44.0;-56.77
29;-23.005326;-46.835362;770.8;16.15;-44.0;-56.67
30;-23.005327;-46.835362;770.5;16.13;-45.5;-56.66
31;-23.005329;-46.835362;770.4;15.95;-44.0;-56.51
32;-23.005329;-46.835362;770.3;15.98;-45.5;-56.53
33;-23.005331;-46.835362;770.1;15.84;-44.0;-56.42
34;-23.005333;-46.835362;769.6;15.8;-44.0;-56.39
35;-23.005335;-46.835363;769.3;15.71;-44.0;-56.31
36;-23.005336;-46.835364;769.0;15.72;-45.5;-56.32
37;-23.005338;-46.835363;768.5;15.73;-45.5;-56.33
38;-23.005339;-46.835363;768.2;15.77;-44.0;-56.36
39;-23.00534;-46.835364;768.2;15.67;-44.0;-56.28
40;-23.00534;-46.835364;768.2;15.67;-44.0;-56.28
41;-23.005341;-46.835366;768.3;15.51;-44.0;-56.15
42;-23.005343;-46.835367;768.0;15.46;-45.5;-56.1
43;-23.005344;-46.835368;767.9;15.41;-45.5;-56.06
44;-23.005345;-46.835369;767.6;15.46;-44.0;-56.1
45;-23.005346;-46.83537;767.6;15.36;-45.5;-56.02
46;-23.005347;-46.835372;767.5;15.32;-44.0;-55.98
47;-23.005349;-46.835373;767.4;15.18;-45.5;-55.87
48;-23.00535;-46.835373;766.9;15.36;-45.5;-56.02
49;-23.005352;-46.835375;766.6;15.35;-46.5;-56.01
50;-23.005355;-46.835375;766.4;15.19;-45.5;-55.88
51;-23.005355;-46.835377;766.9;14.91;-50.5;-55.63
52;-23.005359;-46.835377;766.0;15.09;-49.5;-55.79
53;-23.005361;-46.835377;766.1;14.86;-46.5;-55.58
54;-23.005362;-46.835376;765.2;15.35;-54.0;-56.01
55;-23.005363;-46.835375;764.9;15.46;-54.0;-56.11
56;-23.005362;-46.835376;765.3;15.28;-57.0;-55.95
57;-23.005365;-46.835377;765.4;14.97;-57.0;-55.69
58;-23.005366;-46.835376;765.2;15.02;-52.5;-55.73
59;-23.005366;-46.835376;765.3;14.95;-52.5;-55.67
60;-23.005368;-46.835374;765.5;14.65;-51.5;-55.4
61;-23.005368;-46.835373;766.0;14.31;-55.0;-55.1
62;-23.005368;-46.835372;766.1;14.24;-54.0;-55.04
63;-23.005368;-46.835373;766.3;14.12;-55.0;-54.92
64;-23.005368;-46.835372;766.6;13.92;-55.0;-54.74
65;-23.005367;-46.835371;766.8;13.88;-52.5;-54.7
66;-23.005366;-46.83537;766.7;14.03;-56.0;-54.84
67;-23.005367;-46.835371;767.1;13.7;-56.0;-54.53
68;-23.005368;-46.835373;767.7;13.26;-56.0;-54.1
69;-23.005368;-46.835373;767.8;13.2;-56.0;-54.04
70;-23.005367;-46.835373;767.9;13.23;-56.0;-54.08
71;-23.005366;-46.835373;768.0;13.27;-55.0;-54.11
72;-23.005366;-46.835372;768.2;13.16;-54.0;-54.0
73;-23.005365;-46.835371;768.2;13.25;-59.0;-54.09
74;-23.005364;-46.835371;768.3;13.29;-54.0;-54.13
75;-23.005363;-46.83537;768.1;13.49;-55.0;-54.33
76;-23.005361;-46.835369;768.2;13.62;-61.5;-54.45
77;-23.005361;-46.835368;768.2;13.62;-62.5;-54.46
78;-23.00536;-46.835368;768.3;13.67;-61.5;-54.5
79;-23.005359;-46.835368;768.4;13.71;-55.0;-54.54
80;-23.005354;-46.835373;768.4;14.19;-49.5;-54.99
81;-23.005351;-46.835376;768.5;14.45;-55.0;-55.22
82;-23.005346;-46.835371;767.6;15.36;-55.0;-56.02
83;-23.005344;-46.835368;767.4;15.65;-54.0;-56.27
84;-23.005344;-46.835367;767.1;15.81;-55.0;-56.4
85;-23.005343;-46.835367;767.0;15.96;-55.0;-56.52
86;-23.005343;-46.835365;766.8;16.07;-55.0;-56.61
87;-23.005342;-46.835364;766.8;16.17;-54.0;-56.69
88;-23.005342;-46.835363;766.7;16.23;-54.0;-56.73
89;-23.005341;-46.835363;766.9;16.21;-55.0;-56.72
90;-23.005339;-46.835363;767.1;16.3;-55.0;-56.79
91;-23.005337;-46.835362;767.3;16.4;-55.0;-56.87
92;-23.005336;-46.835361;767.2;16.55;-55.0;-56.99
93;-23.005335;-46.83536;767.5;16.5;-50.5;-56.96
94;-23.005332;-46.835367;767.5;16.77;-57.0;-57.16
95;-23.005327;-46.835376;768.0;17.05;-48.5;-57.38
96;-23.005303;-46.835405;767.4;20.03;-47.5;-59.48
97;-23.00529;-46.835427;767.5;21.8;-54.0;-60.58
98;-23.005265;-46.835473;768.0;25.7;-70.0;-62.72
99;-23.005257;-46.835512;767.6;28.41;-49.5;-64.03
100;-23.005259;-46.835537;767.5;29.65;-51.5;-64.59
101;-23.005258;-46.835548;767.1;30.51;-50.5;-64.96
102;-23.005255;-46.835577;766.6;32.74;-55.0;-65.88
103;-23.005254;-46.835609;765.5;35.31;-71.0;-66.86
104;-23.005253;-46.835629;765.6;36.8;-64.5;-67.4
105;-23.005235;-46.835666;764.9;41.01;-70.0;-68.81
106;-23.005217;-46.835693;765.3;44.22;-65.5;-69.8
107;-23.005212;-46.835719;765.5;46.53;-75.0;-70.46
108;-23.005211;-46.835729;765.5;47.39;-66.5;-70.7
109;-23.005211;-46.835727;765.4;47.25;-68.5;-70.66
110;-23.005211;-46.835717;764.8;46.6;-64.5;-70.48
111;-23.005213;-46.835713;764.5;46.22;-71.0;-70.37
112;-23.005213;-46.835713;764.4;46.25;-65.5;-70.38
113;-23.005214;-46.835712;764.6;46.05;-76.0;-70.32
114;-23.005214;-46.835711;764.5;46.0;-74.0;-70.31
115;-23.005214;-46.835712;764.2;46.15;-64.5;-70.35
116;-23.005212;-46.835712;763.9;46.36;-75.0;-70.41
117;-23.005215;-46.835712;764.2;46.08;-64.5;-70.33
118;-23.005217;-46.835711;764.6;45.77;-66.5;-70.25
119;-23.005218;-46.835712;764.7;45.76;-67.5;-70.24
120;-23.005216;-46.835712;764.3;45.99;-68.5;-70.31
121;-23.005216;-46.835713;764.2;46.09;-68.5;-70.34
122;-23.005215;-46.835714;763.9;46.31;-67.5;-70.4
123;-23.005215;-46.835714;763.9;46.31;-75.0;-70.4
124;-23.005215;-46.835715;764.0;46.36;-75.0;-70.41
125;-23.005215;-46.835715;764.0;46.36;-68.5;-70.41
126;-23.005214;-46.835716;763.8;46.56;-68.5;-70.47
127;-23.005212;-46.835717;763.6;46.82;-68.5;-70.54
128;-23.00521;-46.835718;763.1;47.16;-68.5;-70.63
129;-23.005209;-46.835718;762.9;47.28;-67.5;-70.67
130;-23.005207;-46.835718;762.4;47.55;-71.0;-70.74
131;-23.005207;-46.835719;762.3;47.65;-71.0;-70.77
132;-23.005206;-46.835719;762.2;47.75;-79.5;-70.79
133;-23.005206;-46.835719;762.0;47.8;-67.5;-70.81
134;-23.005205;-46.835719;761.9;47.9;-64.5;-70.84
135;-23.005203;-46.835718;761.6;48.04;-65.5;-70.87
136;-23.005202;-46.835718;761.4;48.17;-73.0;-70.91
137;-23.0052;-46.835717;761.0;48.34;-68.5;-70.96
138;-23.005199;-46.835717;760.7;48.5;-65.5;-71.0
139;-23.005199;-46.835717;760.7;48.5;-65.5;-71.0
140;-23.005198;-46.835716;760.7;48.49;-70.0;-71.0
141;-23.005197;-46.835716;760.8;48.53;-68.5;-71.01
142;-23.005197;-46.835716;760.8;48.53;-66.5;-71.01
143;-23.005199;-46.835714;761.2;48.13;-66.5;-70.9
144;-23.005198;-46.835714;761.3;48.17;-72.0;-70.91
145;-23.005198;-46.835714;761.4;48.14;-71.0;-70.9
146;-23.005197;-46.835713;761.3;48.16;-68.5;-70.91
147;-23.005197;-46.835713;761.3;48.16;-68.5;-70.91
148;-23.005196;-46.835714;761.2;48.33;-66.5;-70.95
149;-23.005196;-46.835714;761.3;48.3;-66.5;-70.95
150;-23.005197;-46.835715;761.6;48.22;-65.5;-70.92
151;-23.005197;-46.835715;761.6;48.22;-66.5;-70.92
152;-23.005198;-46.835717;761.4;48.36;-66.5;-70.96
153;-23.005199;-46.835717;761.5;48.26;-67.5;-70.94
154;-23.005199;-46.835718;761.6;48.31;-70.0;-70.95
155;-23.005199;-46.835718;761.7;48.28;-65.5;-70.94
156;-23.005201;-46.83572;761.7;48.3;-66.5;-70.94
157;-23.0052;-46.835721;761.7;48.44;-66.5;-70.98
158;-23.005201;-46.835721;761.8;48.35;-70.0;-70.96
159;-23.005201;-46.835721;762.0;48.29;-71.0;-70.94
160;-23.005201;-46.83572;762.1;48.19;-68.5;-70.91
161;-23.005201;-46.83572;762.4;48.1;-68.5;-70.89
162;-23.005201;-46.835719;762.7;47.95;-70.0;-70.85
163;-23.005201;-46.835719;762.7;47.95;-70.0;-70.85
164;-23.005203;-46.835719;763.0;47.73;-68.5;-70.79
165;-23.005203;-46.835718;763.0;47.66;-70.0;-70.77
166;-23.005203;-46.835718;762.9;47.68;-68.5;-70.78
167;-23.005203;-46.835718;762.9;47.68;-66.5;-70.78
168;-23.005204;-46.835717;762.8;47.56;-76.0;-70.75
169;-23.005205;-46.835717;762.7;47.52;-64.5;-70.73
170;-23.005205;-46.835716;762.9;47.39;-68.5;-70.7
171;-23.005206;-46.835716;762.9;47.33;-72.0;-70.68
172;-23.005207;-46.835716;763.0;47.23;-68.5;-70.65
173;-23.005208;-46.835716;762.9;47.19;-68.5;-70.64
174;-23.005208;-46.835716;762.8;47.22;-68.5;-70.65
175;-23.005209;-46.835715;762.9;47.05;-68.5;-70.6
176;-23.005209;-46.835715;763.1;46.99;-68.5;-70.59
177;-23.00521;-46.835715;763.2;46.9;-68.5;-70.56
178;-23.005211;-46.835715;763.3;46.81;-65.5;-70.54
179;-23.005212;-46.835715;763.3;46.74;-63.5;-70.52
180;-23.005213;-46.835716;763.5;46.7;-65.5;-70.51
181;-23.005213;-46.835716;763.5;46.7;-66.5;-70.51
182;-23.005214;-46.835716;763.6;46.61;-67.5;-70.48
183;-23.005214;-46.835717;763.7;46.66;-67.5;-70.5
184;-23.005215;-46.835717;763.8;46.57;-67.5;-70.47
185;-23.005216;-46.835717;763.9;46.48;-67.5;-70.44
186;-23.005216;-46.835717;764.0;46.45;-67.5;-70.44
187;-23.005217;-46.835717;764.0;46.39;-66.5;-70.42
188;-23.005217;-46.835717;764.0;46.39;-63.5;-70.42
189;-23.005216;-46.835717;764.0;46.45;-64.5;-70.44
190;-23.005216;-46.835717;764.0;46.45;-67.5;-70.44
191;-23.005216;-46.835717;764.1;46.43;-67.5;-70.43
192;-23.005217;-46.835717;764.1;46.36;-67.5;-70.41
193;-23.005217;-46.835717;764.0;46.39;-64.5;-70.42
194;-23.005217;-46.835717;764.0;46.39;-72.0;-70.42
195;-23.005217;-46.835717;763.9;46.41;-67.5;-70.43
196;-23.005218;-46.835717;763.8;46.37;-67.5;-70.41
197;-23.005218;-46.835717;763.8;46.37;-67.5;-70.41
198;-23.005218;-46.835717;763.7;46.4;-67.5;-70.42
199;-23.005217;-46.835716;763.7;46.38;-67.5;-70.42
200;-23.005217;-46.835715;763.7;46.31;-67.5;-70.4
201;-23.005217;-46.835715;763.7;46.31;-67.5;-70.4
202;-23.005217;-46.835714;763.7;46.23;-71.0;-70.37
203;-23.005217;-46.835714;763.7;46.23;-61.5;-70.37
204;-23.005216;-46.835714;763.7;46.29;-64.5;-70.39
205;-23.005215;-46.835715;763.5;46.49;-73.0;-70.45
206;-23.005215;-46.835715;763.5;46.49;-65.5;-70.45
207;-23.005215;-46.835714;763.6;46.39;-64.5;-70.42
208;-23.005214;-46.835714;763.6;46.45;-64.5;-70.44
209;-23.005214;-46.835714;763.5;46.48;-63.5;-70.44
210;-23.005215;-46.835714;763.6;46.39;-66.5;-70.42
211;-23.005215;-46.835714;763.5;46.41;-65.5;-70.43
212;-23.005215;-46.835715;763.5;46.49;-63.5;-70.45
213;-23.005214;-46.835718;763.5;46.79;-64.5;-70.53
214;-23.005214;-46.835718;763.7;46.74;-64.5;-70.52
215;-23.005214;-46.835718;764.1;46.64;-65.5;-70.49
216;-23.005216;-46.835719;764.2;46.56;-67.5;-70.47
217;-23.005216;-46.83572;764.3;46.62;-64.5;-70.48
218;-23.005216;-46.835726;764.2;47.11;-65.5;-70.62
219;-23.005213;-46.835754;764.3;49.53;-74.0;-71.27
220;-23.005202;-46.835799;763.7;54.04;-76.0;-72.41
221;-23.005185;-46.835858;763.3;60.09;-71.0;-73.79
222;-23.005173;-46.835894;762.7;63.97;-67.5;-74.61
223;-23.005146;-46.835975;762.0;72.61;-72.0;-76.26
224;-23.005116;-46.836059;762.1;81.58;-68.5;-77.78
225;-23.005095;-46.836125;762.2;88.53;-76.0;-78.84
226;-23.005087;-46.836149;762.4;91.06;-78.5;-79.21
227;-23.005076;-46.836186;762.5;94.94;-72.0;-79.75
228;-23.005066;-46.83621;762.6;97.59;-72.0;-80.11
229;-23.005061;-46.836231;762.4;99.76;-76.0;-80.4
230;-23.005055;-46.836241;762.2;101.0;-80.5;-80.56
231;-23.005059;-46.836247;762.9;101.25;-73.0;-80.59
232;-23.005057;-46.836248;762.5;101.49;-74.0;-80.62
233;-23.005057;-46.836249;762.5;101.58;-74.0;-80.63
234;-23.005058;-46.83625;762.4;101.63;-73.0;-80.64
235;-23.005061;-46.83625;762.7;101.45;-74.0;-80.61
236;-23.005061;-46.83625;762.8;101.44;-74.0;-80.61
237;-23.005061;-46.836251;762.3;101.59;-73.0;-80.63
238;-23.005061;-46.836251;762.3;101.59;-73.0;-80.63
239;-23.005059;-46.836252;761.2;101.93;-75.0;-80.68
240;-23.005061;-46.836252;761.3;101.81;-75.0;-80.66
241;-23.005061;-46.836251;761.2;101.74;-74.0;-80.65
242;-23.005061;-46.836251;761.2;101.74;-74.0;-80.65
243;-23.005068;-46.836248;762.1;101.0;-75.0;-80.56
244;-23.005068;-46.836248;762.0;101.01;-74.0;-80.56
245;-23.005065;-46.836247;761.5;101.14;-74.0;-80.57
246;-23.005064;-46.836247;761.3;101.21;-72.0;-80.58
247;-23.005064;-46.836247;761.3;101.21;-73.0;-80.58
248;-23.005065;-46.836246;761.5;101.05;-75.0;-80.56
249;-23.005065;-46.836246;761.5;101.05;-75.0;-80.56
250;-23.005067;-46.836242;762.1;100.5;-72.0;-80.49
251;-23.005066;-46.836241;762.2;100.45;-76.0;-80.49
252;-23.005066;-46.83624;762.4;100.33;-73.0;-80.47
253;-23.005066;-46.836239;762.3;100.25;-74.0;-80.46
254;-23.005067;-46.83624;762.5;100.27;-73.0;-80.46
255;-23.005069;-46.83624;762.6;100.16;-76.0;-80.45
256;-23.005067;-46.836242;762.1;100.5;-73.0;-80.49
257;-23.005068;-46.836243;762.0;100.56;-75.0;-80.5
258;-23.005072;-46.836243;762.5;100.3;-74.0;-80.47
259;-23.005066;-46.836245;761.1;100.96;-73.0;-80.55
260;-23.005067;-46.836244;761.3;100.79;-74.0;-80.53
261;-23.005066;-46.836244;761.2;100.86;-75.0;-80.54
262;-23.005066;-46.836243;761.0;100.8;-74.0;-80.53
263;-23.005067;-46.836243;760.9;100.76;-74.0;-80.53
264;-23.005067;-46.836242;760.7;100.7;-75.0;-80.52
265;-23.005066;-46.836241;760.5;100.69;-74.0;-80.52
266;-23.005067;-46.836241;760.4;100.65;-76.0;-80.51
267;-23.005067;-46.836241;760.3;100.67;-76.0;-80.51
268;-23.005066;-46.836241;759.8;100.79;-74.0;-80.53
269;-23.005065;-46.836241;759.7;100.86;-75.0;-80.54
270;-23.005065;-46.836241;759.3;100.92;-74.0;-80.55
271;-23.005064;-46.836241;759.1;101.0;-72.0;-80.56
272;-23.005065;-46.836241;759.0;100.97;-72.0;-80.55
273;-23.005065;-46.836241;758.8;101.0;-73.0;-80.56
274;-23.005066;-46.836241;758.7;100.97;-74.0;-80.55
275;-23.005066;-46.836241;758.6;100.99;-76.0;-80.55
276;-23.005067;-46.836241;758.5;100.95;-72.0;-80.55
277;-23.005067;-46.836242;758.2;101.09;-74.0;-80.57
278;-23.005069;-46.836243;758.0;101.12;-74.0;-80.57
279;-23.005071;-46.836244;758.0;101.12;-74.0;-80.57
280;-23.005071;-46.836244;757.9;101.13;-75.0;-80.57
281;-23.005073;-46.836245;757.9;101.13;-72.0;-80.57
282;-23.005075;-46.836246;757.7;101.16;-75.0;-80.58
283;-23.005077;-46.836247;757.6;101.17;-77.5;-80.58
284;-23.005078;-46.836247;757.6;101.12;-75.0;-80.57
285;-23.00508;-46.836248;757.4;101.16;-74.0;-80.58
286;-23.005082;-46.836248;757.2;101.1;-74.0;-80.57
287;-23.005084;-46.836249;757.0;101.13;-74.0;-80.57
288;-23.005084;-46.836249;756.9;101.15;-74.0;-80.58
289;-23.005086;-46.836249;756.7;101.09;-74.0;-80.57
290;-23.005087;-46.836249;756.5;101.08;-76.0;-80.57
291;-23.005087;-46.836249;756.5;101.08;-76.0;-80.57
292;-23.005089;-46.836248;756.1;100.98;-75.0;-80.55
293;-23.00509;-46.836248;756.1;100.93;-74.0;-80.55
294;-23.005091;-46.836247;756.1;100.79;-72.0;-80.53
295;-23.005091;-46.836247;756.1;100.79;-75.0;-80.53
296;-23.005091;-46.836246;756.1;100.7;-77.5;-80.52
297;-23.005091;-46.836246;756.1;100.7;-75.0;-80.52
298;-23.005093;-46.836245;756.0;100.54;-76.0;-80.5
299;-23.005093;-46.836245;756.1;100.52;-73.0;-80.49
300;-23.005093;-46.836245;756.4;100.46;-75.0;-80.49
301;-23.005093;-46.836245;756.5;100.44;-76.0;-80.48
302;-23.005093;-46.836245;756.6;100.42;-71.0;-80.48
303;-23.005093;-46.836245;756.5;100.44;-73.0;-80.48
304;-23.005094;-46.836245;756.7;100.36;-78.5;-80.47
305;-23.005094;-46.836245;756.7;100.36;-75.0;-80.47
306;-23.005093;-46.836244;756.9;100.28;-75.0;-80.46
307;-23.005093;-46.836245;757.1;100.33;-74.0;-80.47
308;-23.005092;-46.836244;757.3;100.25;-76.0;-80.46
309;-23.00509;-46.836244;757.4;100.32;-74.0;-80.47
310;-23.00509;-46.836244;757.4;100.32;-74.0;-80.47
311;-23.005088;-46.836244;758.3;100.26;-76.0;-80.46
312;-23.005088;-46.836243;758.5;100.13;-81.5;-80.44
313;-23.005089;-46.836243;758.6;100.07;-71.0;-80.44
314;-23.005091;-46.836243;758.2;100.05;-73.0;-80.43
315;-23.005091;-46.836243;758.0;100.08;-74.0;-80.44
316;-23.005092;-46.836244;757.8;100.16;-73.0;-80.45
317;-23.005093;-46.836245;757.5;100.26;-75.0;-80.46
