Medida;Latitude;Longitude;Altitude;Distancia_3D_m;RSSI_DL_medido;RSSI_DL_previsto_shadowing
1;-23.005306;-46.835385;760.2;23.37;-43.0;-45.69
2;-23.005307;-46.835387;759.2;23.96;-43.0;-46.02
3;-23.005313;-46.835387;757.6;24.61;-43.0;-46.37
4;-23.005322;-46.835389;755.6;25.47;-45.5;-46.81
5;-23.00533;-46.835393;753.1;26.98;-44.0;-47.57
6;-23.005338;-46.835393;750.2;28.98;-45.5;-48.5
7;-23.005342;-46.835393;748.6;30.18;-45.5;-49.03
8;-23.005348;-46.835395;746.5;31.8;-43.0;-49.71
9;-23.005352;-46.835397;744.9;33.1;-45.5;-50.23
10;-23.005359;-46.835397;743.5;34.12;-44.0;-50.62
11;-23.005362;-46.835396;742.6;34.84;-45.5;-50.9
12;-23.005365;-46.835394;741.9;35.38;-45.5;-51.1
13;-23.005371;-46.835394;741.7;35.37;-45.5;-51.09
14;-23.005374;-46.835396;741.1;35.86;-46.5;-51.27
15;-23.005378;-46.835397;740.4;36.42;-43.0;-51.47
16;-23.005383;-46.835397;739.6;37.05;-44.0;-51.7
17;-23.005388;-46.835395;739.3;37.19;-44.0;-51.75
18;-23.005389;-46.835394;739.8;36.67;-46.5;-51.56
19;-23.005387;-46.835396;740.7;35.87;-42.0;-51.27
20;-23.00538;-46.835398;743.2;33.68;-42.0;-50.46
21;-23.005378;-46.835396;745.1;31.92;-42.0;-49.76
22;-23.00537;-46.835404;749.6;28.1;-45.5;-48.09
23;-23.005367;-46.835403;752.5;25.58;-42.0;-46.87
24;-23.005365;-46.835401;754.5;23.89;-44.0;-45.98
25;-23.00537;-46.835392;754.5;23.53;-43.0;-45.78
26;-23.005378;-46.835388;753.6;23.92;-43.0;-46.0
27;-23.005388;-46.835388;752.2;24.8;-44.0;-46.47
28;-23.005396;-46.835387;750.3;26.3;-43.0;-47.24
29;-23.005402;-46.83538;750.2;26.18;-39.0;-47.17
30;-23.005395;-46.835376;751.1;25.52;-41.0;-46.84
31;-23.005384;-46.835371;753.4;23.77;-41.0;-45.92
32;-23.005376;-46.835371;754.8;22.85;-41.0;-45.4
33;-23.005369;-46.835367;757.2;21.1;-41.0;-44.36
34;-23.005366;-46.835361;758.2;20.44;-40.0;-43.95
35;-23.005357;-46.835358;761.3;18.56;-41.0;-42.69
36;-23.00535;-46.835357;763.7;17.38;-41.0;-41.84
37;-23.005337;-46.835354;767.6;16.31;-41.0;-41.01
38;-23.00533;-46.835347;769.5;16.3;-41.0;-41.0
39;-23.005336;-46.835343;767.0;16.85;-40.0;-41.43
40;-23.005337;-46.835338;766.2;17.26;-41.0;-41.75
41;-23.005344;-46.835335;763.9;18.06;-40.0;-42.33
42;-23.005351;-46.835335;761.6;19.08;-41.0;-43.05
43;-23.005356;-46.835334;760.5;19.56;-41.0;-43.37
44;-23.005355;-46.835335;760.6;19.53;-41.0;-43.36
45;-23.005346;-46.835338;764.0;17.77;-41.0;-42.13
46;-23.005341;-46.835341;766.0;16.95;-41.0;-41.51
47;-23.005341;-46.835343;766.0;16.91;-41.0;-41.48
48;-23.005341;-46.835346;766.5;16.59;-41.0;-41.23
49;-23.005346;-46.835348;765.0;16.98;-41.0;-41.53
50;-23.005347;-46.835348;764.3;17.33;-40.0;-41.8
51;-23.005351;-46.835348;762.7;18.08;-41.0;-42.35
52;-23.00535;-46.835351;762.1;18.55;-43.0;-42.69
53;-23.00532;-46.835409;763.4;20.49;-50.5;-43.98
54;-23.005263;-46.835537;759.8;32.25;-56.0;-49.89
55;-23.005187;-46.835727;758.0;50.93;-71.0;-55.84
56;-23.005178;-46.835763;758.0;54.21;-66.5;-56.66
57;-23.005186;-46.835743;757.5;52.35;-70.0;-56.2
58;-23.005192;-46.835732;758.0;50.96;-71.0;-55.85
59;-23.005193;-46.835733;759.0;50.64;-71.0;-55.77
