Time stamp;medida_atual;RSSI_DL;RSSI_UL;Perdas;PSR_DL;PSR_UL;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio;taxa_canal_teorica;taxa_canal_calculada;snr_DL;snr_UL;contador_DL;contador_UL;perda_total;LSS_status
05/07/2026 22:03:05;1;-38.0;-41.0;0;100.0;100.0;-38.0;-38.0;-41.0;-41.0;12;500;5;20;1171.875;1171.875;6.5;7.5;0;1;0;1
05/07/2026 22:03:08;2;-39.0;-41.0;0;100.0;100.0;-38.0;-39.0;-41.0;-41.0;12;500;5;20;1171.875;1171.875;6.5;8.0;0;2;0;1
05/07/2026 22:03:10;3;-39.0;-41.0;0;100.0;100.0;-38.0;-39.0;-41.0;-41.0;12;500;5;20;1171.875;1171.875;6.5;7.75;0;3;0;1
05/07/2026 22:03:12;4;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-41.0;-41.0;12;500;5;20;1171.875;1171.875;6.5;7.75;0;4;0;1
05/07/2026 22:03:14;5;-38.0;-40.0;0;100.0;100.0;-38.0;-39.0;-40.0;-41.0;12;500;5;20;1171.875;1171.875;6.5;7.75;0;5;0;1
05/07/2026 22:03:16;6;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-41.0;12;500;5;20;1171.875;1171.875;6.5;8.0;0;6;0;1
05/07/2026 22:03:19;7;-38.0;-40.0;0;100.0;100.0;-38.0;-39.0;-40.0;-41.0;12;500;5;20;1171.875;1171.875;7.0;7.75;0;7;0;1
05/07/2026 22:03:21;8;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-41.0;12;500;5;20;1171.875;1171.875;6.75;8.25;0;8;0;1
05/07/2026 22:03:23;9;-39.0;-42.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.0;8.0;0;9;0;1
05/07/2026 22:03:25;10;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.0;8.0;0;10;0;1
05/07/2026 22:03:28;11;-38.0;-40.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.0;8.0;0;11;0;1
05/07/2026 22:03:30;12;-39.0;-40.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.0;7.75;0;12;0;1
05/07/2026 22:03:32;13;-39.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.25;7.5;0;13;0;1
05/07/2026 22:03:35;14;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;6.75;8.0;0;14;0;1
05/07/2026 22:03:37;15;-38.0;-40.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;6.75;7.75;0;15;0;1
05/07/2026 22:03:39;16;-39.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.25;7.5;0;16;0;1
05/07/2026 22:03:41;17;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.0;7.75;0;17;0;1
05/07/2026 22:03:43;18;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.0;7.5;0;18;0;1
05/07/2026 22:03:46;19;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.0;7.75;0;19;0;1
05/07/2026 22:03:48;20;-38.0;-40.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;6.75;7.25;0;20;0;1
05/07/2026 22:03:50;21;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.25;7.75;0;21;0;1
05/07/2026 22:03:52;22;-39.0;-40.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.25;7.75;0;22;0;1
05/07/2026 22:03:55;23;-39.0;-40.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;6.75;8.0;0;23;0;1
05/07/2026 22:03:57;24;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.0;7.75;0;24;0;1
05/07/2026 22:03:59;25;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;6.75;7.25;0;25;0;1
05/07/2026 22:04:01;26;-39.0;-42.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.25;7.75;0;26;0;1
05/07/2026 22:04:04;27;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.25;7.75;0;27;0;1
05/07/2026 22:04:06;28;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.25;8.0;0;28;0;1
05/07/2026 22:04:08;29;-39.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.25;8.0;0;29;0;1
05/07/2026 22:04:10;30;-39.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.25;7.5;0;30;0;1
05/07/2026 22:04:13;31;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.0;8.0;0;31;0;1
05/07/2026 22:04:15;32;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;6.75;7.75;0;32;0;1
05/07/2026 22:04:17;33;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;6.5;7.75;0;33;0;1
05/07/2026 22:04:19;34;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;6.75;8.0;0;34;0;1
05/07/2026 22:04:21;35;-38.0;-42.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.0;7.75;0;35;0;1
05/07/2026 22:04:24;36;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.25;7.75;0;36;0;1
05/07/2026 22:04:26;37;-38.0;-41.0;0;100.0;100.0;-38.0;-39.0;-40.0;-42.0;12;500;5;20;1171.875;1171.875;7.25;7.75;0;37;0;1
