Time stamp;medida;rssi_dl;rssi_dl_max;rssi_dl_min;rssi_dl_desvpad;rssi_dl_mediana;rssi_dl_media_movel;rssi_ul;rssi_ul_max;rssi_ul_min;rssi_ul_desvpad;rssi_ul_mediana;rssi_ul_media_movel;snr_dl;snr_dl_max;snr_dl_min;snr_dl_media;snr_ul;snr_ul_max;snr_ul_min;snr_ul_media;psr_ul;psr_ul_medio;per_geral_medio;taxa_teorica;taxa_calculada;contador_dl;contador_ul;perda_total;lss_status
05/07/2026 22:03:06;1;-38.0;-38.0;-38.0;0.0;-38.0;-38.0;-41.0;-41.0;-41.0;0.0;-41.0;-41.0;6.5;6.5;6.5;6.5;7.5;7.5;7.5;7.5;100.0;100.0;0.0;1171.88;1171.88;0;1;0;1
05/07/2026 22:03:08;2;-39.0;-38.0;-39.0;0.707;-38.5;-38.47;-41.0;-41.0;-41.0;0.0;-41.0;-41.0;6.5;6.5;6.5;6.5;8.0;8.0;7.5;7.75;100.0;100.0;0.0;1171.88;1171.88;0;2;0;1
05/07/2026 22:03:10;3;-39.0;-38.0;-39.0;0.577;-39.0;-38.64;-41.0;-41.0;-41.0;0.0;-41.0;-41.0;6.5;6.5;6.5;6.5;7.75;8.0;7.5;7.75;100.0;100.0;0.0;1171.88;1171.88;0;3;0;1
05/07/2026 22:03:12;4;-38.0;-38.0;-39.0;0.577;-38.5;-38.47;-41.0;-41.0;-41.0;0.0;-41.0;-41.0;6.5;6.5;6.5;6.5;7.75;8.0;7.5;7.75;100.0;100.0;0.0;1171.88;1171.88;0;4;0;1
05/07/2026 22:03:14;5;-38.0;-38.0;-39.0;0.548;-38.0;-38.37;-40.0;-40.0;-41.0;0.447;-41.0;-40.78;6.5;6.5;6.5;6.5;7.75;8.0;7.5;7.75;100.0;100.0;0.0;1171.88;1171.88;0;5;0;1
05/07/2026 22:03:17;6;-38.0;-38.0;-39.0;0.516;-38.0;-38.31;-41.0;-40.0;-41.0;0.408;-41.0;-40.82;6.5;6.5;6.5;6.5;8.0;8.0;7.5;7.79;100.0;100.0;0.0;1171.88;1171.88;0;6;0;1
05/07/2026 22:03:19;7;-38.0;-38.0;-39.0;0.488;-38.0;-38.26;-40.0;-40.0;-41.0;0.488;-41.0;-40.69;7.0;7.0;6.5;6.57;7.75;8.0;7.5;7.79;100.0;100.0;0.0;1171.88;1171.88;0;7;0;1
05/07/2026 22:03:21;8;-38.0;-38.0;-39.0;0.463;-38.0;-38.23;-41.0;-40.0;-41.0;0.463;-41.0;-40.73;6.75;7.0;6.5;6.59;8.25;8.25;7.5;7.84;100.0;100.0;0.0;1171.88;1171.88;0;8;0;1
05/07/2026 22:03:23;9;-39.0;-38.0;-39.0;0.5;-38.0;-38.31;-42.0;-40.0;-42.0;0.601;-41.0;-40.85;7.0;7.0;6.5;6.64;8.0;8.25;7.5;7.86;100.0;100.0;0.0;1171.88;1171.88;0;9;0;1
05/07/2026 22:03:25;10;-38.0;-38.0;-39.0;0.483;-38.0;-38.28;-41.0;-40.0;-42.0;0.568;-41.0;-40.87;7.0;7.0;6.5;6.67;8.0;8.25;7.5;7.88;100.0;100.0;0.0;1171.88;1171.88;0;10;0;1
05/07/2026 22:03:28;11;-38.0;-38.0;-39.0;0.467;-38.0;-38.28;-40.0;-40.0;-42.0;0.603;-41.0;-40.76;7.0;7.0;6.5;6.7;8.0;8.25;7.5;7.89;100.0;100.0;0.0;1171.88;1171.88;0;11;0;1
05/07/2026 22:03:30;12;-39.0;-38.0;-39.0;0.492;-38.0;-38.28;-40.0;-40.0;-42.0;0.622;-41.0;-40.65;7.0;7.0;6.5;6.73;7.75;8.25;7.5;7.88;100.0;100.0;0.0;1171.88;1171.88;0;12;0;1
